fecha,departamento
02/01/2010,SANTANDER
02/01/2010,QUINDIO
02/01/2010,HUILA
02/01/2010,ANTIOQUIA
02/01/2010,BOGOTA D. C.
02/01/2010,VALLE DEL CAUCA
02/01/2010,VALLE DEL CAUCA
02/01/2010,VALLE DEL CAUCA
02/01/2010,ANTIOQUIA
02/01/2010,QUINDIO
02/01/2010,BOGOTA D. C.
02/01/2010,ANTIOQUIA
02/01/2010,VALLE DEL CAUCA
02/01/2010,VALLE DEL CAUCA
02/01/2010,BOGOTA D. C.
02/01/2010,VALLE DEL CAUCA
02/01/2010,ANTIOQUIA
02/01/2010,RISARALDA
02/01/2010,BOGOTA D. C.
02/01/2010,TOLIMA
02/01/2010,RISARALDA
02/01/2010,CUNDINAMARCA
02/01/2010,ANTIOQUIA
02/01/2010,MAGDALENA
02/01/2010,VALLE DEL CAUCA
02/01/2010,VALLE DEL CAUCA
02/01/2010,BOLIVAR
02/01/2010,ANTIOQUIA
02/01/2010,LA GUAJIRA
02/01/2010,BOLIVAR
02/01/2010,ANTIOQUIA
02/01/2010,VALLE DEL CAUCA
02/01/2010,VALLE DEL CAUCA
02/01/2010,CUNDINAMARCA
02/01/2010,VALLE DEL CAUCA
02/01/2010,BOGOTA D. C.
02/01/2010,RISARALDA
02/01/2010,NORTE DE SANTANDER
02/01/2010,ANTIOQUIA
02/01/2010,RISARALDA
02/01/2010,ANTIOQUIA
02/01/2010,ATLANTICO
02/01/2010,ANTIOQUIA
03/01/2010,SANTANDER
03/01/2010,ANTIOQUIA
03/01/2010,ANTIOQUIA
03/01/2010,ANTIOQUIA
03/01/2010,CUNDINAMARCA
03/01/2010,VALLE DEL CAUCA
03/01/2010,BOGOTA D. C.
03/01/2010,BOGOTA D. C.
03/01/2010,BOGOTA D. C.
03/01/2010,BOLIVAR
03/01/2010,CUNDINAMARCA
03/01/2010,ANTIOQUIA
03/01/2010,VALLE DEL CAUCA
03/01/2010,BOGOTA D. C.
03/01/2010,NARINO
03/01/2010,LA GUAJIRA
03/01/2010,ANTIOQUIA
03/01/2010,ANTIOQUIA
03/01/2010,CUNDINAMARCA
03/01/2010,MAGDALENA
03/01/2010,VALLE DEL CAUCA
03/01/2010,VALLE DEL CAUCA
03/01/2010,HUILA
03/01/2010,ANTIOQUIA
03/01/2010,CAUCA
03/01/2010,ANTIOQUIA
03/01/2010,ATLANTICO
03/01/2010,ANTIOQUIA
03/01/2010,ANTIOQUIA
03/01/2010,ANTIOQUIA
03/01/2010,BOGOTA D. C.
03/01/2010,ATLANTICO
03/01/2010,VALLE DEL CAUCA
03/01/2010,NARINO
03/01/2010,SANTANDER
03/01/2010,BOGOTA D. C.
03/01/2010,CUNDINAMARCA
03/01/2010,VALLE DEL CAUCA
03/01/2010,QUINDIO
03/01/2010,BOLIVAR
03/01/2010,ANTIOQUIA
03/01/2010,SANTANDER
03/01/2010,ANTIOQUIA
03/01/2010,ANTIOQUIA
03/01/2010,ANTIOQUIA
03/01/2010,CUNDINAMARCA
03/01/2010,ANTIOQUIA
03/01/2010,ANTIOQUIA
03/01/2010,SUCRE
03/01/2010,VALLE DEL CAUCA
03/01/2010,VALLE DEL CAUCA
03/01/2010,ANTIOQUIA
03/01/2010,BOGOTA D. C.
03/01/2010,CUNDINAMARCA
03/01/2010,BOYACA
03/01/2010,VALLE DEL CAUCA
03/01/2010,META
03/01/2010,NORTE DE SANTANDER
03/01/2010,SANTANDER
03/01/2010,QUINDIO
03/01/2010,SANTANDER
03/01/2010,TOLIMA
03/01/2010,BOLIVAR
03/01/2010,CUNDINAMARCA
03/01/2010,ANTIOQUIA
